site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
AHUP 99MAY30 1999.4086 51328 1012 0 -155.3   3561  0.468350   2143633  0.401892  1104  0.853205  0.1150 0.000833 0.000757 0.003311  0.059587 -0.112544  0.006109  19.3791093475 -155.2660974531  1104.85321
AHUP 99JUN19 1999.4634 51348 1014 6 -155.3   3561  0.469514   2143633  0.397231  1104  0.843242  0.1150 0.000917 0.000839 0.003832 -0.036783 -0.028088 -0.008633  19.3791093227 -155.2660974747  1104.84324
AHUP 99JUN20 1999.4661 51349 1015 0 -155.3   3561  0.471040   2143633  0.398130  1104  0.843056  0.1150 0.000882 0.000800 0.003537  0.034272 -0.003501 -0.028327  19.3791093317 -155.2660974617  1104.84306
AHUP 99JUN21 1999.4689 51350 1015 1 -155.3   3561  0.469170   2143633  0.399895  1104  0.843258  0.1150 0.000909 0.000816 0.003665  0.049298 -0.060347  0.022455  19.3791093485 -155.2660974812  1104.84326
AHUP 99JUN22 1999.4716 51351 1015 2 -155.3   3561  0.472566   2143633  0.397476  1104  0.835714  0.1150 0.000962 0.000869 0.003760  0.033740 -0.085508  0.047388  19.3791093275 -155.2660974505  1104.83571
AHUP 99JUN23 1999.4743 51352 1015 3 -155.3   3561  0.467654   2143633  0.397468  1104  0.839647  0.1150 0.000937 0.000848 0.003776  0.023618 -0.005244  0.049831  19.3791093283 -155.2660974989  1104.83965
AHUP 99JUN24 1999.4771 51353 1015 4 -155.3   3561  0.465731   2143633  0.394796  1104  0.840254  0.1150 0.001081 0.000995 0.004675  0.004990 -0.183931  0.010564  19.3791093050 -155.2660975188  1104.84025
AHUP 99JUN25 1999.4798 51354 1015 5 -155.3   3561  0.473141   2143633  0.400923  1104  0.840660  0.1150 0.000951 0.000861 0.003742  0.040649 -0.090988  0.021953  19.3791093612 -155.2660974499  1104.84066
AHUP 99JUN26 1999.4825 51355 1015 6 -155.3   3561  0.471831   2143633  0.400679  1104  0.837382  0.1150 0.000928 0.000855 0.003774  0.019148 -0.095066  0.019222  19.3791093598 -155.2660974640  1104.83738
AHUP 99JUN27 1999.4853 51356 1016 0 -155.3   3561  0.471734   2143633  0.398224  1104  0.852060  0.1150 0.000903 0.000799 0.003636 -0.017925 -0.004723 -0.078490  19.3791093385 -155.2660974666  1104.85206
AHUP 99JUN28 1999.4880 51357 1016 1 -155.3   3561  0.471981   2143633  0.395793  1104  0.838486  0.1150 0.000877 0.000820 0.003630 -0.016289 -0.080812 -0.062335  19.3791093174 -155.2660974658  1104.83849
AHUP 99JUN29 1999.4908 51358 1016 2 -155.3   3561  0.469291   2143633  0.397033  1104  0.826090  0.1150 0.000973 0.000885 0.004052  0.021991  0.003606 -0.033677  19.3791093295 -155.2660974931  1104.82609
AHUP 99JUN30 1999.4935 51359 1016 3 -155.3   3561  0.472395   2143633  0.398949  1104  0.838524  0.1150 0.000902 0.000829 0.003613  0.034657 -0.022267  0.013520  19.3791093477 -155.2660974652  1104.83852
AHUP 99JUL01 1999.4962 51360 1016 4 -155.3   3561  0.473656   2143633  0.399474  1104  0.834225  0.1150 0.001046 0.000946 0.003963  0.018939 -0.056871 -0.019734  19.3791093533 -155.2660974548  1104.83423
AHUP 99JUL02 1999.4990 51361 1016 5 -155.3   3561  0.469987   2143633  0.399428  1104  0.825294  0.1150 0.000934 0.000852 0.003758  0.032897 -0.021232 -0.003334  19.3791093537 -155.2660974914  1104.82529
AHUP 99JUL03 1999.5017 51362 1016 6 -155.3   3561  0.474122   2143633  0.398504  1104  0.833985  0.1150 0.000929 0.000886 0.003803  0.045358 -0.004070  0.040934  19.3791093462 -155.2660974536  1104.83398
AHUP 99JUL04 1999.5044 51363 1017 0 -155.3   3561  0.473966   2143633  0.404422  1104  0.854817  0.1150 0.000950 0.000904 0.003868  0.052639 -0.042693  0.023491  19.3791094005 -155.2660974567  1104.85482
AHUP 99JUL05 1999.5072 51364 1017 1 -155.3   3561  0.474152   2143633  0.400802  1104  0.843024  0.1150 0.000970 0.000879 0.003882  0.030636 -0.061945  0.032291  19.3791093687 -155.2660974566  1104.84302
AHUP 99JUL06 1999.5099 51365 1017 2 -155.3   3561  0.476349   2143633  0.398590  1104  0.850593  0.1150 0.000885 0.000791 0.003522  0.025424 -0.032437 -0.016351  19.3791093496 -155.2660974373  1104.85059
AHUP 99JUL07 1999.5127 51366 1017 3 -155.3   3561  0.471405   2143633  0.396997  1104  0.835924  0.1150 0.000968 0.000862 0.003719 -0.035332  0.001553  0.018899  19.3791093361 -155.2660974860  1104.83592
