site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BYRL 06FEB27 2006.1574 53793 1364 1 -155.3   4198  0.409908   2147270 -0.058839  1099  0.061364  0.0870 0.000859 0.000723 0.003077 -0.079956  0.038463 -0.042719  19.4119628089 -155.2600303041  1099.06136
BYRL 06FEB28 2006.1602 53794 1364 2 -155.3   4198  0.413681   2147270 -0.058089  1099  0.059079  0.0870 0.000871 0.000739 0.003123 -0.086288  0.056725 -0.005897  19.4119628166 -155.2600302698  1099.05908
BYRL 06MAR01 2006.1629 53795 1364 3 -155.3   4198  0.411810   2147270 -0.058532  1099  0.049361  0.0870 0.000886 0.000777 0.003294 -0.067384  0.052226 -0.014734  19.4119628134 -155.2600302893  1099.04936
BYRL 06MAR02 2006.1656 53796 1364 4 -155.3   4198  0.410494   2147270 -0.057302  1099  0.054195  0.0870 0.000840 0.000723 0.003044 -0.064638  0.022327 -0.004639  19.4119628254 -155.2600303034  1099.05420
BYRL 06MAR03 2006.1684 53797 1364 5 -155.3   4198  0.411031   2147270 -0.056262  1099  0.055616  0.0870 0.000883 0.000741 0.003097 -0.063787  0.034309  0.019179  19.4119628357 -155.2600302999  1099.05562
BYRL 06MAR04 2006.1711 53798 1364 6 -155.3   4198  0.412869   2147270 -0.052853  1099  0.051907  0.0870 0.000854 0.000724 0.003082 -0.074941  0.047217 -0.015845  19.4119628673 -155.2600302841  1099.05191
BYRL 06MAR05 2006.1739 53799 1365 0 -155.3   4198  0.413832   2147270 -0.050294  1099  0.065137  0.0870 0.000837 0.000719 0.003021 -0.061591  0.009294  0.014893  19.4119628913 -155.2600302765  1099.06514
BYRL 06MAR06 2006.1766 53800 1365 1 -155.3   4198  0.416348   2147270 -0.049129  1099  0.071972  0.0870 0.000848 0.000733 0.003138 -0.058139  0.010002 -0.008456  19.4119629027 -155.2600302542  1099.07197
BYRL 06MAR07 2006.1793 53801 1365 2 -155.3   4198  0.414635   2147270 -0.048513  1099  0.069492  0.0870 0.000847 0.000734 0.003152 -0.058299  0.029792 -0.005091  19.4119629091 -155.2600302721  1099.06949
BYRL 06MAR08 2006.1821 53802 1365 3 -155.3   4198  0.408358   2147270 -0.051010  1099  0.055409  0.0870 0.000860 0.000746 0.003222 -0.049129 -0.020045  0.049101  19.4119628874 -155.2600303335  1099.05541
