site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HILO 97JUN03 1997.4209 50602  908 2 -155.1   4959  0.433989   2181278  0.891107    29  0.309557  0.0000 0.000938 0.000846 0.003605  0.079226 -0.030977 -0.046629  19.7191803178 -155.0526897996    29.30956
HILO 97JUN04 1997.4237 50603  908 3 -155.1   4959  0.427682   2181278  0.882041    29  0.314129  0.0000 0.001075 0.000956 0.003856  0.001426  0.082133 -0.035230  19.7191802368 -155.0526898615    29.31413
HILO 97JUN05 1997.4264 50604  908 4 -155.1   4959  0.431210   2181278  0.888571    29  0.308201  0.0000 0.000961 0.000895 0.003679  0.023061  0.028704 -0.063013  19.7191802966 -155.0526898294    29.30820
HILO 97JUN06 1997.4292 50605  908 5 -155.1   4959  0.437395   2181278  0.885634    29  0.295999  0.0000 0.001166 0.001109 0.004841  0.014910  0.015315 -0.059017  19.7191802710 -155.0526897721    29.29600
HILO 97JUN07 1997.4319 50606  908 6 -155.1   4959  0.432436   2181278  0.885876    29  0.291875  0.0000 0.001400 0.001195 0.005110  0.072305 -0.025532 -0.042479  19.7191802740 -155.0526898210    29.29188
HILO 97JUN08 1997.4346 50607  909 0 -155.1   4959  0.428632   2181278  0.888262    29  0.299946  0.0000 0.001104 0.001056 0.004557  0.026049 -0.047894 -0.027250  19.7191802964 -155.0526898589    29.29995
HILO 97JUN09 1997.4374 50608  909 1 -155.1   4959  0.423842   2181278  0.886520    29  0.305492  0.0000 0.001413 0.001407 0.005587 -0.045131  0.016754 -0.055537  19.7191802815 -155.0526899062    29.30549
HILO 97JUN11 1997.4428 50610  909 3 -155.1   4959  0.468911   2181278  0.888284    29  0.361233  0.0000 0.003195 0.003323 0.011978 -0.063409  0.192939 -0.302578  19.7191802992 -155.0526894795    29.36123
HILO 97JUN12 1997.4456 50611  909 4 -155.1   4959  0.396946   2181278  0.789903    29  0.532458  0.0000 0.004967 0.003913 0.017495  0.123169 -0.022671  0.271118  19.7191794114 -155.0526901679    29.53246
HILO 97JUN19 1997.4648 50618  910 4 -155.1   4959  0.434789   2181278  0.878731    29  0.353811  0.0000 0.002688 0.002617 0.011898  0.426534 -0.146315 -0.269253  19.7191802198 -155.0526898181    29.35381
HILO 97JUN24 1997.4784 50623  911 2 -155.1   4959  0.429413   2181278  0.885977    29  0.306618  0.0000 0.000823 0.000796 0.003259  0.044828 -0.081920 -0.001419  19.7191802895 -155.0526898775    29.30662
HILO 97JUN25 1997.4812 50624  911 3 -155.1   4959  0.428439   2181278  0.885593    29  0.299987  0.0000 0.000853 0.000808 0.003381  0.065648 -0.028740 -0.050158  19.7191802869 -155.0526898885    29.29999
HILO 97JUN26 1997.4839 50625  911 4 -155.1   4959  0.434224   2181278  0.884791    29  0.308798  0.0000 0.000871 0.000800 0.003315  0.028089 -0.035381  0.030118  19.7191802806 -155.0526898349    29.30880
HILO 97JUN27 1997.4867 50626  911 5 -155.1   4959  0.431863   2181278  0.890145    29  0.317817  0.0000 0.000888 0.000841 0.003426  0.031380 -0.002781  0.051653  19.7191803298 -155.0526898591    29.31782
HILO 97JUN28 1997.4894 50627  911 6 -155.1   4959  0.433118   2181278  0.891345    29  0.307589  0.0000 0.000876 0.000824 0.003361  0.023726  0.009778 -0.005471  19.7191803415 -155.0526898487    29.30759
HILO 97JUN29 1997.4921 50628  912 0 -155.1   4959  0.427847   2181278  0.886955    29  0.313025  0.0000 0.000863 0.000783 0.003299  0.008012  0.056709 -0.025884  19.7191803027 -155.0526899006    29.31302
HILO 97JUN30 1997.4949 50629  912 1 -155.1   4959  0.430580   2181278  0.884861    29  0.300919  0.0000 0.000852 0.000768 0.003328  0.012630 -0.010498 -0.046920  19.7191802846 -155.0526898762    29.30092
HILO 97JUL01 1997.4976 50630  912 2 -155.1   4959  0.429742   2181278  0.883432    29  0.304291  0.0000 0.000882 0.000838 0.003541  0.003439  0.001260 -0.040738  19.7191802726 -155.0526898858    29.30429
HILO 97JUL02 1997.5003 50631  912 3 -155.1   4959  0.424075   2181278  0.887873    29  0.304623  0.0000 0.000918 0.000818 0.003567  0.013507 -0.062056 -0.054537  19.7191803135 -155.0526899414    29.30462
HILO 97JUL03 1997.5031 50632  912 4 -155.1   4959  0.431585   2181278  0.887297    29  0.309740  0.0000 0.000865 0.000781 0.003458  0.028673 -0.025241 -0.091637  19.7191803092 -155.0526898715    29.30974
HILO 97JUL04 1997.5058 50633  912 5 -155.1   4959  0.427607   2181278  0.889000    29  0.330861  0.0000 0.000824 0.000763 0.003171  0.006810 -0.050253 -0.024284  19.7191803255 -155.0526899110    29.33086
HILO 97JUL05 1997.5086 50634  912 6 -155.1   4959  0.431986   2181278  0.886935    29  0.314571  0.0000 0.000872 0.000786 0.003251 -0.018356 -0.004898 -0.009479  19.7191803077 -155.0526898709    29.31457
HILO 97JUL06 1997.5113 50635  913 0 -155.1   4959  0.431459   2181278  0.889864    29  0.316538  0.0000 0.000823 0.000767 0.003232  0.026859 -0.030275 -0.068438  19.7191803350 -155.0526898776    29.31654
HILO 97JUL07 1997.5140 50636  913 1 -155.1   4959  0.428733   2181278  0.883778    29  0.305367  0.0000 0.000808 0.000744 0.003066  0.015838 -0.012127 -0.030397  19.7191802809 -155.0526899052    29.30537
HILO 97JUL08 1997.5168 50637  913 2 -155.1   4959  0.428696   2181278  0.886555    29  0.302851  0.0000 0.000822 0.000778 0.003133 -0.006932  0.002578 -0.004156  19.7191803068 -155.0526899072    29.30285
HILO 97JUL09 1997.5195 50638  913 3 -155.1   4959  0.432501   2181278  0.887914    29  0.302947  0.0000 0.000859 0.000789 0.003292  0.025374  0.025547  0.015052  19.7191803200 -155.0526898725    29.30295
HILO 97JUL10 1997.5222 50639  913 4 -155.1   4959  0.428429   2181278  0.888463    29  0.303837  0.0000 0.000819 0.000760 0.003135  0.023561 -0.025057 -0.022904  19.7191803258 -155.0526899130    29.30384
HILO 97JUL11 1997.5250 50640  913 5 -155.1   4959  0.430468   2181278  0.887843    29  0.299876  0.0000 0.000827 0.000797 0.003283  0.044083 -0.060456 -0.011047  19.7191803211 -155.0526898952    29.29988
HILO 97JUL12 1997.5277 50641  913 6 -155.1   4959  0.431235   2181278  0.889284    29  0.304182  0.0000 0.000829 0.000781 0.003259  0.023919 -0.041673 -0.049525  19.7191803349 -155.0526898895    29.30418
HILO 97JUL13 1997.5305 50642  914 0 -155.1   4959  0.430700   2181278  0.888747    29  0.304818  0.0000 0.000790 0.000733 0.002963  0.016141 -0.035974 -0.030736  19.7191803309 -155.0526898962    29.30482
HILO 97JUL14 1997.5332 50643  914 1 -155.1   4959  0.428654   2181278  0.888481    29  0.308411  0.0000 0.000815 0.000755 0.003045 -0.015250 -0.012186 -0.006943  19.7191803294 -155.0526899173    29.30841
HILO 97JUL15 1997.5359 50644  914 2 -155.1   4959  0.432136   2181278  0.887566    29  0.314728  0.0000 0.000845 0.000766 0.003205 -0.020573  0.023421 -0.040286  19.7191803220 -155.0526898857    29.31473
HILO 97JUL16 1997.5387 50645  914 3 -155.1   4959  0.427096   2181278  0.889201    29  0.302488  0.0000 0.000842 0.000760 0.003108 -0.013017 -0.007954 -0.024975  19.7191803376 -155.0526899355    29.30249
HILO 97JUL17 1997.5414 50646  914 4 -155.1   4959  0.430840   2181278  0.886639    29  0.301667  0.0000 0.000863 0.000801 0.003393  0.004645 -0.014608 -0.006425  19.7191803153 -155.0526899014    29.30167
HILO 97JUL18 1997.5441 50647  914 5 -155.1   4959  0.431773   2181278  0.888184    29  0.298368  0.0000 0.000800 0.000758 0.003080  0.016679 -0.008667  0.008294  19.7191803301 -155.0526898941    29.29837
HILO 97JUL19 1997.5469 50648  914 6 -155.1   4959  0.430919   2181278  0.888394    29  0.295999  0.0000 0.000858 0.000794 0.003386 -0.033282 -0.043395 -0.013404  19.7191803329 -155.0526899039    29.29600
HILO 97JUL21 1997.5524 50650  915 1 -155.1   4959  0.431139   2181278  0.887583    29  0.300639  0.0000 0.000821 0.000763 0.003161  0.016733 -0.081823  0.014342  19.7191803273 -155.0526899051    29.30064
HILO 97JUL22 1997.5551 50651  915 2 -155.1   4959  0.428326   2181278  0.887785    29  0.320937  0.0000 0.000878 0.000799 0.003527 -0.016887 -0.026832 -0.043362  19.7191803300 -155.0526899335    29.32094
