site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
JOKA 07OCT04 2007.7563 54377 1447 4 -155.0   -467  0.259948   2149666  0.510730   482  0.584585  0.0900 0.000803 0.000733 0.003057  0.015839 -0.023278  0.067247  19.4336130927 -155.0044490727   482.58459
JOKA 07OCT05 2007.7591 54378 1447 5 -155.0   -467  0.255524   2149666  0.508774   482  0.604493  0.0900 0.000818 0.000735 0.003145  0.009442  0.017724  0.044436  19.4336130759 -155.0044491165   482.60449
JOKA 07OCT06 2007.7618 54379 1447 6 -155.0   -467  0.258754   2149666  0.507964   482  0.593556  0.0900 0.000798 0.000723 0.003074 -0.024615  0.081085  0.028658  19.4336130694 -155.0044490873   482.59356
JOKA 07OCT07 2007.7645 54380 1448 0 -155.0   -467  0.255088   2149666  0.509763   482  0.605915  0.0900 0.000826 0.000734 0.003123  0.032727  0.065123  0.055674  19.4336130865 -155.0044491238   482.60592
JOKA 07OCT08 2007.7673 54381 1448 1 -155.0   -467  0.260019   2149666  0.509466   482  0.596201  0.0900 0.000901 0.000787 0.003362 -0.034021  0.091858  0.069089  19.4336130847 -155.0044490786   482.59620
JOKA 07OCT09 2007.7700 54382 1448 2 -155.0   -467  0.259027   2149666  0.510567   482  0.597560  0.0900 0.000879 0.000767 0.003173  0.036814  0.015039  0.061993  19.4336130955 -155.0044490896   482.59756
JOKA 07OCT10 2007.7728 54383 1448 3 -155.0   -467  0.258894   2149666  0.513399   482  0.592322  0.0900 0.000882 0.000751 0.003160 -0.018782  0.049986  0.043418  19.4336131220 -155.0044490925   482.59232
JOKA 07OCT11 2007.7755 54384 1448 4 -155.0   -467  0.257310   2149666  0.509724   482  0.597633  0.0900 0.000802 0.000715 0.002988  0.032564  0.051634  0.046384  19.4336130896 -155.0044491092   482.59763
JOKA 07OCT12 2007.7782 54385 1448 5 -155.0   -467  0.257491   2149666  0.509361   482  0.597633  0.0900 0.000782 0.000708 0.002966  0.005534  0.061827  0.059240  19.4336130872 -155.0044491091   482.59763
JOKA 07OCT13 2007.7810 54386 1448 6 -155.0   -467  0.258891   2149666  0.510003   482  0.599705  0.0900 0.000782 0.000696 0.002869 -0.025224  0.046154  0.040105  19.4336130939 -155.0044490974   482.59970
JOKA 07OCT14 2007.7837 54387 1449 0 -155.0   -467  0.258134   2149666  0.509122   482  0.601995  0.0900 0.000790 0.000724 0.002972  0.009789  0.062500  0.053062  19.4336130868 -155.0044491063   482.60199
JOKA 07OCT15 2007.7864 54388 1449 1 -155.0   -467  0.256384   2149666  0.508516   482  0.603267  0.0900 0.000871 0.000778 0.003381 -0.028308  0.027285  0.066317  19.4336130821 -155.0044491245   482.60327
JOKA 07OCT16 2007.7892 54389 1449 2 -155.0   -467  0.255034   2149666  0.507732   482  0.590828  0.0900 0.000848 0.000766 0.003159 -0.002203  0.062364  0.093052  19.4336130759 -155.0044491391   482.59083
JOKA 07OCT17 2007.7919 54390 1449 3 -155.0   -467  0.258675   2149666  0.510261   482  0.603268  0.0900 0.000804 0.000730 0.003069  0.014163  0.032348  0.065145  19.4336130996 -155.0044491060   482.60327
JOKA 07OCT18 2007.7947 54391 1449 4 -155.0   -467  0.258056   2149666  0.508951   482  0.597546  0.0900 0.000783 0.000721 0.002976 -0.001286  0.028074  0.059016  19.4336130887 -155.0044491136   482.59755
JOKA 07OCT19 2007.7974 54392 1449 5 -155.0   -467  0.256710   2149666  0.509351   482  0.603425  0.0900 0.000799 0.000720 0.003006  0.016636  0.057886  0.039358  19.4336130931 -155.0044491280   482.60343
JOKA 07OCT20 2007.8001 54393 1449 6 -155.0   -467  0.256176   2149666  0.508667   482  0.599941  0.0900 0.000792 0.000707 0.002955  0.011447  0.083031  0.074172  19.4336130878 -155.0044491347   482.59994
JOKA 07OCT21 2007.8029 54394 1450 0 -155.0   -467  0.258343   2149666  0.508027   482  0.596331  0.0900 0.000792 0.000700 0.002950 -0.026558  0.032169  0.035692  19.4336130829 -155.0044491157   482.59633
JOKA 07OCT22 2007.8056 54395 1450 1 -155.0   -467  0.259478   2149666  0.508651   482  0.596463  0.0900 0.000772 0.000696 0.002869 -0.000611  0.013338  0.071905  19.4336130894 -155.0044491065   482.59646
JOKA 07OCT23 2007.8084 54396 1450 2 -155.0   -467  0.257450   2149666  0.509724   482  0.601874  0.0900 0.000801 0.000726 0.003069 -0.013910  0.008775  0.030549  19.4336131000 -155.0044491275   482.60187
JOKA 07OCT24 2007.8111 54397 1450 3 -155.0   -467  0.261601   2149666  0.511025   482  0.591619  0.0900 0.000810 0.000730 0.003126 -0.005272  0.019668  0.066721  19.4336131126 -155.0044490896   482.59162
JOKA 07OCT25 2007.8138 54398 1450 4 -155.0   -467  0.257641   2149666  0.509136   482  0.595801  0.0900 0.000802 0.000727 0.003056 -0.003791  0.020501  0.047163  19.4336130964 -155.0044491289   482.59580
JOKA 07OCT26 2007.8166 54399 1450 5 -155.0   -467  0.257358   2149666  0.506466   482  0.591622  0.0900 0.000860 0.000773 0.003273 -0.014285  0.010185  0.066775  19.4336130731 -155.0044491332   482.59162
