site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
NPIT 08MAR15 2008.2026 54540 1470 6 -155.3   1996  0.574882   2147304  0.392363  1132  0.063623  0.0830 0.000793 0.000700 0.002933  0.007542  0.031110 -0.002465  19.4122746731 -155.2809953179  1132.06362
NPIT 08MAR16 2008.2053 54541 1471 0 -155.3   1996  0.573126   2147304  0.390841  1132  0.061555  0.0830 0.000810 0.000703 0.003056 -0.002084  0.071766 -0.070055  19.4122746602 -155.2809953362  1132.06156
NPIT 08MAR17 2008.2081 54542 1471 1 -155.3   1996  0.574980   2147304  0.390615  1132  0.063675  0.0830 0.000833 0.000736 0.003171 -0.002993  0.028002  0.003549  19.4122746590 -155.2809953202  1132.06367
NPIT 08MAR18 2008.2108 54543 1471 2 -155.3   1996  0.575876   2147304  0.391352  1132  0.054476  0.0830 0.000824 0.000723 0.003066  0.027061  0.027024  0.023619  19.4122746665 -155.2809953133  1132.05448
NPIT 08MAR19 2008.2136 54544 1471 3 -155.3   1996  0.572873   2147304  0.390724  1132  0.064785  0.0830 0.000800 0.000697 0.002899  0.018688  0.059624  0.018395  19.4122746617 -155.2809953436  1132.06478
NPIT 08MAR20 2008.2163 54545 1471 4 -155.3   1996  0.572387   2147304  0.389862  1132  0.057331  0.0830 0.000795 0.000695 0.002915  0.023210 -0.008129 -0.016760  19.4122746548 -155.2809953498  1132.05733
NPIT 08MAR21 2008.2190 54546 1471 5 -155.3   1996  0.575071   2147304  0.387024  1132  0.052760  0.0830 0.000791 0.000695 0.002890  0.020888  0.069821 -0.029827  19.4122746300 -155.2809953259  1132.05276
NPIT 08MAR22 2008.2218 54547 1471 6 -155.3   1996  0.574141   2147304  0.390360  1132  0.045261  0.0830 0.000796 0.000694 0.002928  0.027425  0.042304 -0.047749  19.4122746610 -155.2809953364  1132.04526
NPIT 08MAR23 2008.2245 54548 1472 0 -155.3   1996  0.572748   2147304  0.386739  1132  0.046103  0.0830 0.000801 0.000690 0.002923  0.026431  0.021043 -0.049437  19.4122746292 -155.2809953513  1132.04610
NPIT 08MAR24 2008.2272 54549 1472 1 -155.3   1996  0.575592   2147304  0.387507  1132  0.058053  0.0830 0.000809 0.000699 0.002929  0.013898  0.046992  0.007715  19.4122746370 -155.2809953258  1132.05805
NPIT 08MAR25 2008.2300 54550 1472 2 -155.3   1996  0.574047   2147304  0.388905  1132  0.048678  0.0830 0.000857 0.000727 0.003106  0.030559  0.054314 -0.013248  19.4122746505 -155.2809953422  1132.04868
NPIT 08MAR26 2008.2327 54551 1472 3 -155.3   1996  0.575119   2147304  0.388064  1132  0.059933  0.0830 0.000838 0.000700 0.002917  0.038022  0.056927 -0.016370  19.4122746437 -155.2809953336  1132.05993
NPIT 08MAR27 2008.2355 54552 1472 4 -155.3   1996  0.571703   2147304  0.388272  1132  0.052880  0.0830 0.000815 0.000695 0.002909  0.018097  0.026783 -0.033604  19.4122746465 -155.2809953678  1132.05288
NPIT 08MAR28 2008.2382 54553 1472 5 -155.3   1996  0.571937   2147304  0.386097  1132  0.054805  0.0830 0.000803 0.000684 0.002865 -0.004697  0.067167 -0.034174  19.4122746277 -155.2809953672  1132.05481
NPIT 08MAR29 2008.2409 54554 1472 6 -155.3   1996  0.571109   2147304  0.387573  1132  0.073398  0.0830 0.000795 0.000685 0.002864  0.023112  0.057669 -0.018252  19.4122746419 -155.2809953766  1132.07340
NPIT 08MAR30 2008.2437 54555 1473 0 -155.3   1996  0.571367   2147304  0.390181  1132  0.057138  0.0830 0.000801 0.000702 0.002956  0.020222  0.045662 -0.050264  19.4122746663 -155.2809953759  1132.05714
