site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
UWEV 99MAY30 1999.4086 51328 1012 0 -155.3    931  0.921509   2148256  0.361852  1257  0.602448  0.0000 0.000821 0.000765 0.003241  0.022239 -0.070957  0.025016  19.4208716753 -155.2911262719  1257.60245
UWEV 99JUN19 1999.4634 51348 1014 6 -155.3    931  0.916935   2148256  0.364955  1257  0.582841  0.0000 0.000937 0.000823 0.003681  0.030340 -0.059735  0.033254  19.4208717206 -155.2911263481  1257.58284
UWEV 99JUN20 1999.4661 51349 1015 0 -155.3    931  0.923299   2148256  0.365516  1257  0.576018  0.0000 0.000856 0.000790 0.003448  0.019231 -0.073274  0.025320  19.4208717265 -155.2911262891  1257.57602
UWEV 99JUN21 1999.4689 51350 1015 1 -155.3    931  0.920748   2148256  0.364159  1257  0.573142  0.0000 0.000901 0.000843 0.003777  0.017125 -0.048062  0.066672  19.4208717151 -155.2911263150  1257.57314
UWEV 99JUN22 1999.4716 51351 1015 2 -155.3    931  0.923168   2148256  0.361688  1257  0.579252  0.0000 0.000914 0.000822 0.003488  0.035583 -0.108830  0.013189  19.4208716936 -155.2911262936  1257.57925
UWEV 99JUN23 1999.4743 51352 1015 3 -155.3    931  0.920984   2148256  0.362217  1257  0.582139  0.0000 0.000943 0.000839 0.003716  0.031804 -0.047500  0.056559  19.4208716993 -155.2911263160  1257.58214
UWEV 99JUN24 1999.4771 51353 1015 4 -155.3    931  0.923825   2148256  0.365230  1257  0.581801  0.0000 0.000977 0.000922 0.004084  0.010823 -0.167152  0.060767  19.4208717274 -155.2911262906  1257.58180
UWEV 99JUN25 1999.4798 51354 1015 5 -155.3    931  0.928131   2148256  0.362640  1257  0.583920  0.0000 0.000930 0.000853 0.003717  0.012954 -0.082916  0.064198  19.4208717048 -155.2911262513  1257.58392
UWEV 99JUN26 1999.4825 51355 1015 6 -155.3    931  0.923783   2148256  0.363506  1257  0.589282  0.0000 0.000929 0.000858 0.003707  0.000356 -0.100738  0.074646  19.4208717135 -155.2911262943  1257.58928
UWEV 99JUN27 1999.4853 51356 1016 0 -155.3    931  0.926444   2148256  0.362376  1257  0.588699  0.0000 0.000900 0.000803 0.003566  0.004618 -0.076717  0.031375  19.4208717042 -155.2911262706  1257.58870
UWEV 99JUN28 1999.4880 51357 1016 1 -155.3    931  0.925369   2148256  0.359920  1257  0.582282  0.0000 0.000874 0.000824 0.003534 -0.019441 -0.100271  0.027304  19.4208716828 -155.2911262824  1257.58228
UWEV 99JUN29 1999.4908 51358 1016 2 -155.3    931  0.923821   2148256  0.364015  1257  0.575153  0.0000 0.000939 0.000845 0.003746  0.000485 -0.003853  0.044546  19.4208717207 -155.2911262988  1257.57515
UWEV 99JUN30 1999.4935 51359 1016 3 -155.3    931  0.928678   2148256  0.362778  1257  0.576186  0.0000 0.000910 0.000824 0.003549  0.088886 -0.036954  0.030656  19.4208717104 -155.2911262542  1257.57619
UWEV 99JUL01 1999.4962 51360 1016 4 -155.3    931  0.924128   2148256  0.360974  1257  0.569608  0.0000 0.001131 0.001019 0.004323  0.039355 -0.028304  0.046204  19.4208716949 -155.2911262991  1257.56961
UWEV 99JUL02 1999.4990 51361 1016 5 -155.3    931  0.921177   2148256  0.362113  1257  0.568628  0.0000 0.000954 0.000854 0.003703  0.014101 -0.010642  0.022756  19.4208717061 -155.2911263289  1257.56863
UWEV 99JUL03 1999.5017 51362 1016 6 -155.3    931  0.925074   2148256  0.362558  1257  0.565417  0.0000 0.001003 0.000879 0.003812  0.068296  0.040000  0.065801  19.4208717110 -155.2911262934  1257.56542
UWEV 99JUL04 1999.5044 51363 1017 0 -155.3    931  0.926131   2148256  0.365565  1257  0.588039  0.0000 0.000992 0.000890 0.003886  0.033377 -0.116895  0.059030  19.4208717390 -155.2911262849  1257.58804
UWEV 99JUL05 1999.5072 51364 1017 1 -155.3    931  0.926711   2148256  0.363625  1257  0.581129  0.0000 0.000949 0.000863 0.003688  0.045572 -0.045784  0.043237  19.4208717223 -155.2911262811  1257.58113
UWEV 99JUL06 1999.5099 51365 1017 2 -155.3    931  0.928529   2148256  0.362724  1257  0.586365  0.0000 0.000870 0.000795 0.003429  0.030857 -0.028445  0.026611  19.4208717150 -155.2911262654  1257.58637
UWEV 99JUL07 1999.5127 51366 1017 3 -155.3    931  0.923853   2148256  0.361834  1257  0.587560  0.0000 0.000972 0.000878 0.003764 -0.028209 -0.010958  0.009540  19.4208717079 -155.2911263116  1257.58756
UWEV 99JUL08 1999.5154 51367 1017 4 -155.3    931  0.925733   2148256  0.360396  1257  0.577610  0.0000 0.000903 0.000844 0.003602  0.052789 -0.022807  0.043954  19.4208716957 -155.2911262953  1257.57761
UWEV 99JUL09 1999.5181 51368 1017 5 -155.3    931  0.923718   2148256  0.362727  1257  0.574035  0.0000 0.000895 0.000812 0.003539  0.022891 -0.014579  0.023394  19.4208717177 -155.2911263161  1257.57403
UWEV 99JUL10 1999.5209 51369 1017 6 -155.3    931  0.923278   2148256  0.362006  1257  0.575196  0.0000 0.000903 0.000837 0.003693  0.016778 -0.045434  0.091029  19.4208717120 -155.2911263219  1257.57520
UWEV 99JUL11 1999.5236 51370 1018 0 -155.3    931  0.926720   2148256  0.360238  1257  0.582929  0.0000 0.000903 0.000844 0.003652  0.026925 -0.043092  0.084322  19.4208716969 -155.2911262908  1257.58293
UWEV 99JUL12 1999.5264 51371 1018 1 -155.3    931  0.930026   2148256  0.359388  1257  0.575843  0.0000 0.000935 0.000850 0.003718  0.043953 -0.000613  0.021517  19.4208716901 -155.2911262610  1257.57584
UWEV 99JUL13 1999.5291 51372 1018 2 -155.3    931  0.930668   2148256  0.358428  1257  0.571067  0.0000 0.000881 0.000791 0.003458 -0.002829 -0.030731  0.028657  19.4208716823 -155.2911262565  1257.57107
UWEV 99JUL14 1999.5318 51373 1018 3 -155.3    931  0.922200   2148256  0.357015  1257  0.576768  0.0000 0.000991 0.000872 0.003895  0.066601  0.018782  0.013761  19.4208716704 -155.2911263387  1257.57677
UWEV 99JUL15 1999.5346 51374 1018 4 -155.3    931  0.924465   2148256  0.361345  1257  0.573741  0.0000 0.000869 0.000808 0.003521  0.022140 -0.087709  0.066763  19.4208717104 -155.2911263188  1257.57374
UWEV 99JUL16 1999.5373 51375 1018 5 -155.3    931  0.928262   2148256  0.357704  1257  0.574912  0.0000 0.000927 0.000815 0.003552  0.096837 -0.055479  0.048263  19.4208716783 -155.2911262843  1257.57491
UWEV 99JUL17 1999.5400 51376 1018 6 -155.3    931  0.921969   2148256  0.361954  1257  0.582347  0.0000 0.000876 0.000787 0.003404  0.069684 -0.065297  0.045061  19.4208717176 -155.2911263458  1257.58235
UWEV 99JUL18 1999.5428 51377 1019 0 -155.3    931  0.924393   2148256  0.359284  1257  0.585429  0.0000 0.000877 0.000806 0.003307  0.120721 -0.049738  0.025766  19.4208716943 -155.2911263244  1257.58543
UWEV 99JUL19 1999.5455 51378 1019 1 -155.3    931  0.924109   2148256  0.361937  1257  0.584562  0.0000 0.001043 0.000844 0.003647  0.089800 -0.096294  0.028787  19.4208717191 -155.2911263287  1257.58456
UWEV 99JUL20 1999.5483 51379 1019 2 -155.3    931  0.925480   2148256  0.358974  1257  0.584504  0.0000 0.000935 0.000839 0.003630  0.097489 -0.074966  0.014467  19.4208716933 -155.2911263173  1257.58450
UWEV 99JUL21 1999.5510 51380 1019 3 -155.3    931  0.921473   2148256  0.363154  1257  0.582514  0.0000 0.000873 0.000785 0.003380  0.053413 -0.075532  0.061055  19.4208717319 -155.2911263571  1257.58251
UWEV 99JUL22 1999.5537 51381 1019 4 -155.3    931  0.926314   2148256  0.357916  1257  0.575059  0.0000 0.000972 0.000821 0.003569  0.106810 -0.152087  0.060435  19.4208716854 -155.2911263126  1257.57506
UWEV 99JUL23 1999.5565 51382 1019 5 -155.3    931  0.927072   2148256  0.358414  1257  0.568427  0.0000 0.000923 0.000831 0.003541  0.073242 -0.108670  0.051290  19.4208716908 -155.2911263070  1257.56843
UWEV 99JUL24 1999.5592 51383 1019 6 -155.3    931  0.925124   2148256  0.358594  1257  0.581311  0.0000 0.000913 0.000835 0.003496  0.091798 -0.073330  0.088005  19.4208716933 -155.2911263272  1257.58131
UWEV 99JUL25 1999.5619 51384 1020 0 -155.3    931  0.928629   2148256  0.359103  1257  0.573676  0.0000 0.000906 0.000826 0.003418  0.116496 -0.091843  0.033801  19.4208716987 -155.2911262954  1257.57368
UWEV 99JUL26 1999.5647 51385 1020 1 -155.3    931  0.932926   2148256  0.362819  1257  0.572239  0.0000 0.000940 0.000888 0.003679  0.084742 -0.031860  0.003085  19.4208717331 -155.2911262562  1257.57224
UWEV 99JUL27 1999.5674 51386 1020 2 -155.3    931  0.930589   2148256  0.357635  1257  0.568944  0.0000 0.000903 0.000825 0.003445  0.090647 -0.067735  0.034876  19.4208716872 -155.2911262801  1257.56894
UWEV 99JUL28 1999.5702 51387 1020 3 -155.3    931  0.928401   2148256  0.359526  1257  0.570379  0.0000 0.000878 0.000804 0.003514  0.057204 -0.150498  0.011152  19.4208717051 -155.2911263025  1257.57038
UWEV 99JUL29 1999.5729 51388 1020 4 -155.3    931  0.924662   2148256  0.359490  1257  0.573968  0.0000 0.000877 0.000800 0.003404  0.018327 -0.039107  0.004695  19.4208717057 -155.2911263398  1257.57397
UWEV 99JUL30 1999.5756 51389 1020 5 -155.3    931  0.932162   2148256  0.360161  1257  0.569571  0.0000 0.000897 0.000842 0.003674 -0.002510 -0.015906  0.030670  19.4208717126 -155.2911262700  1257.56957
