site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
HNLC 97JUN19 1997.4648 50618  910 4 -157.9   3679  0.039650   2356656  0.462688    21  0.966188  0.0000 0.000904 0.000869 0.003871  0.021763 -0.104668 -0.069462  21.3032858264 -157.8645409042    21.96619
HNLC 97JUN20 1997.4675 50619  910 5 -157.9   3679  0.031983   2356656  0.457517    21  0.977681  0.0000 0.000911 0.000819 0.003728  0.054093 -0.157957 -0.099614  21.3032857805 -157.8645409797    21.97768
HNLC 97JUN21 1997.4702 50620  910 6 -157.9   3679  0.034347   2356656  0.459768    21  0.967940  0.0000 0.000905 0.000825 0.003633 -0.005734 -0.122084 -0.024094  21.3032858017 -157.8645409586    21.96794
HNLC 97JUN22 1997.4730 50621  911 0 -157.9   3679  0.030574   2356656  0.458711    21  0.984582  0.0000 0.000906 0.000811 0.003650  0.049364 -0.180961 -0.078559  21.3032857930 -157.8645409966    21.98458
HNLC 97JUN23 1997.4757 50622  911 1 -157.9   3679  0.033000   2356656  0.458913    21  0.962570  0.0000 0.000851 0.000807 0.003414  0.044267 -0.073891 -0.062529  21.3032857957 -157.8645409749    21.96257
HNLC 97JUN24 1997.4784 50623  911 2 -157.9   3679  0.032467   2356656  0.459957    21  0.963716  0.0000 0.000856 0.000858 0.003605  0.048158 -0.117102 -0.043171  21.3032858060 -157.8645409816    21.96372
HNLC 97JUN25 1997.4812 50624  911 3 -157.9   3679  0.029568   2356656  0.458099    21  0.973818  0.0000 0.000851 0.000826 0.003444  0.068345 -0.126109 -0.032394  21.3032857901 -157.8645410112    21.97382
HNLC 97JUN26 1997.4839 50625  911 4 -157.9   3679  0.032024   2356656  0.455908    21  0.973104  0.0000 0.000814 0.000789 0.003258  0.047784 -0.102756 -0.030594  21.3032857711 -157.8645409892    21.97310
HNLC 97JUN27 1997.4867 50626  911 5 -157.9   3679  0.033745   2356656  0.458351    21  0.972862  0.0000 0.000853 0.000807 0.003402  0.056709 -0.152321 -0.061294  21.3032857941 -157.8645409743    21.97286
HNLC 97JUN28 1997.4894 50627  911 6 -157.9   3679  0.034876   2356656  0.461013    21  0.977250  0.0000 0.000861 0.000814 0.003411  0.049859 -0.146750 -0.037686  21.3032858190 -157.8645409650    21.97725
HNLC 97JUN29 1997.4921 50628  912 0 -157.9   3679  0.032163   2356656  0.459540    21  0.968944  0.0000 0.000838 0.000798 0.003431  0.068262 -0.147326 -0.087929  21.3032858065 -157.8645409928    21.96894
HNLC 97JUN30 1997.4949 50629  912 1 -157.9   3679  0.027129   2356656  0.449480    21  0.992308  0.0000 0.000859 0.000811 0.003665  0.038748 -0.177185 -0.124797  21.3032857166 -157.8645410430    21.99231
HNLC 97JUL01 1997.4976 50630  912 2 -157.9   3679  0.026600   2356656  0.453994    21  0.973425  0.0000 0.000885 0.000865 0.003718  0.011903 -0.091816 -0.132993  21.3032857582 -157.8645410497    21.97342
HNLC 97JUL02 1997.5003 50631  912 3 -157.9   3679  0.028273   2356656  0.460757    21  0.972538  0.0000 0.000892 0.000835 0.003706  0.049887 -0.181424 -0.074270  21.3032858201 -157.8645410352    21.97254
HNLC 97JUL03 1997.5031 50632  912 4 -157.9   3679  0.028467   2356656  0.457296    21  0.986312  0.0000 0.000856 0.000801 0.003525  0.050224 -0.163432 -0.090950  21.3032857897 -157.8645410350    21.98631
HNLC 97JUL04 1997.5058 50633  912 5 -157.9   3679  0.029589   2356656  0.460608    21  0.981108  0.0000 0.000818 0.000782 0.003326  0.045969 -0.147145 -0.088564  21.3032858205 -157.8645410258    21.98111
HNLC 97JUL05 1997.5086 50634  912 6 -157.9   3679  0.035422   2356656  0.460938    21  0.974725  0.0000 0.000867 0.000806 0.003467  0.039912 -0.126504 -0.081841  21.3032858244 -157.8645409713    21.97472
HNLC 97JUL06 1997.5113 50635  913 0 -157.9   3679  0.034418   2356656  0.463184    21  0.967531  0.0000 0.000815 0.000776 0.003269  0.020484 -0.101270 -0.051016  21.3032858455 -157.8645409826    21.96753
HNLC 97JUL07 1997.5140 50636  913 1 -157.9   3679  0.031234   2356656  0.460482    21  0.968999  0.0000 0.000834 0.000781 0.003350  0.039142 -0.110039 -0.086787  21.3032858219 -157.8645410149    21.96900
HNLC 97JUL08 1997.5168 50637  913 2 -157.9   3679  0.034758   2356656  0.460409    21  0.995005  0.0000 0.000871 0.000808 0.003533  0.021885 -0.068565 -0.125670  21.3032858222 -157.8645409826    21.99500
HNLC 97JUL09 1997.5195 50638  913 3 -157.9   3679  0.019368   2356656  0.448042    21  0.981800  0.0000 0.000879 0.000819 0.003634  0.042810 -0.100794 -0.121894  21.3032857113 -157.8645411326    21.98180
HNLC 97JUL10 1997.5222 50639  913 4 -157.9   3679  0.031889   2356656  0.462553    21  0.960805  0.0000 0.000810 0.000769 0.003180  0.033331 -0.084967 -0.055359  21.3032858432 -157.8645410135    21.96081
HNLC 97JUL11 1997.5250 50640  913 5 -157.9   3679  0.030090   2356656  0.462476    21  0.973691  0.0000 0.000840 0.000820 0.003514  0.047020 -0.106685 -0.103445  21.3032858434 -157.8645410325    21.97369
HNLC 97JUL12 1997.5277 50641  913 6 -157.9   3679  0.031614   2356656  0.467449    21  0.946896  0.0000 0.000848 0.000819 0.003424  0.042229 -0.078978 -0.072860  21.3032858892 -157.8645410194    21.94690
HNLC 97JUL13 1997.5305 50642  914 0 -157.9   3679  0.029000   2356656  0.466335    21  0.976214  0.0000 0.000825 0.000774 0.003307  0.025210 -0.097155 -0.087036  21.3032858800 -157.8645410463    21.97621
HNLC 97JUL14 1997.5332 50643  914 1 -157.9   3679  0.029964   2356656  0.465018    21  0.982257  0.0000 0.000818 0.000776 0.003167 -0.002702 -0.060041 -0.028701  21.3032858690 -157.8645410386    21.98226
HNLC 97JUL15 1997.5359 50644  914 2 -157.9   3679  0.032000   2356656  0.462522    21  0.976305  0.0000 0.000840 0.000783 0.003298  0.001897 -0.082180 -0.065948  21.3032858473 -157.8645410206    21.97631
HNLC 97JUL16 1997.5387 50645  914 3 -157.9   3679  0.035888   2356656  0.466594    21  0.980284  0.0000 0.000882 0.000805 0.003499  0.014337 -0.051449 -0.106937  21.3032858849 -157.8645409848    21.98028
HNLC 97JUL17 1997.5414 50646  914 4 -157.9   3679  0.034345   2356656  0.472400    21  0.947305  0.0000 0.000846 0.000800 0.003366  0.020084 -0.074795 -0.017959  21.3032859382 -157.8645410013    21.94730
HNLC 97JUL18 1997.5441 50647  914 5 -157.9   3679  0.035767   2356656  0.468899    21  0.958108  0.0000 0.000832 0.000771 0.003414  0.034723 -0.166647 -0.078976  21.3032859075 -157.8645409893    21.95811
HNLC 97JUL19 1997.5469 50648  914 6 -157.9   3679  0.031773   2356656  0.463643    21  0.971726  0.0000 0.000850 0.000785 0.003370  0.023754 -0.128301 -0.098100  21.3032858609 -157.8645410294    21.97173
HNLC 97JUL20 1997.5496 50649  915 0 -157.9   3679  0.029404   2356656  0.458889    21  0.974659  0.0000 0.000843 0.000785 0.003219  0.004527 -0.091982 -0.017813  21.3032858188 -157.8645410539    21.97466
HNLC 97JUL21 1997.5524 50650  915 1 -157.9   3679  0.033802   2356656  0.460297    21  0.954213  0.0000 0.000837 0.000794 0.003446  0.029700 -0.142301 -0.077343  21.3032858324 -157.8645410132    21.95421
HNLC 97JUL22 1997.5551 50651  915 2 -157.9   3679  0.031468   2356656  0.460052    21  0.984924  0.0000 0.000849 0.000801 0.003462  0.017627 -0.109750 -0.064304  21.3032858310 -157.8645410373    21.98492
HNLC 97JUL23 1997.5578 50652  915 3 -157.9   3679  0.036907   2356656  0.464330    21  0.968842  0.0000 0.000906 0.000846 0.003735  0.019955 -0.121218 -0.095146  21.3032858705 -157.8645409865    21.96884
